source	target	direction
PIK3R6	ITK	KEGG
MIR129-1	GRB2	KEGG
CXCL13	CXCR3	KEGG
FOS	PDGFB	KEGG
ATR	SQSTM1	KEGG
SOD1	HSPA5	KEGG
MAPK1	PRKCA	KEGG
JUN	IL2RA	KEGG
MAF	IL4	KEGG
ROCK1	LIMK1	KEGG
MAGI1	ACTB	KEGG
MFGE8	ITGAV	KEGG
NGEF	RHOA	KEGG
TPM1	ACTC1	KEGG
MIR1-1	HDAC5	KEGG
TNFRSF1B	BCL2L1	KEGG
HSP90AA1	MLKL	KEGG
MIR222	CDKN1B	KEGG
ATM	TP53	KEGG
PRKACA	ADCY3	KEGG
MIR17	PTEN	KEGG
ACTB	CFL1	KEGG
VAV3	RAC1	KEGG
IRF7	IFNW1	KEGG
CCL5	CCR5	KEGG
RELA	NFKB1	KEGG
CTNNB1	CTNNA1	KEGG
MAP3K5	MAP2K7	KEGG
TRAF6	CEBPB	KEGG
MAP2K4	ARRB1	KEGG
CD244	SH2D1A	KEGG
ATG2A	WIPI2	KEGG
RORC	IL17A	KEGG
SH3GLB1	ATG9B	KEGG
SYK	ARF6	KEGG
SRC	ITGAL	KEGG
MAPK1	RPS6KA6	KEGG
RELA	RELB	KEGG
CALML6	PPP3CA	KEGG
TNNT2	TNNC1	KEGG
SLC40A1	HEPHL1	KEGG
RHOA	MSN	KEGG
PRKCI	RAP1A	KEGG
PRKCD	MARCKS	KEGG
MAP1LC3BP1	CALCOCO2	KEGG
AMBRA1	BECN2	KEGG
MAPK1	CALD1	KEGG
MAP3K7	MAPK14	KEGG
AGER	MAPK14	KEGG
RAF1	MAP2K1	KEGG
LAMC3	CD44	KEGG
RAPGEF1	RAP1A	KEGG
FANCD2	BRCA2	KEGG
FOSB	SIRT1	KEGG
MAPK1	ROCK1	KEGG
INS	EGFR	KEGG
TNFRSF1A	MAPK8	KEGG
CDH5	CTNND1	KEGG
PDPK1	SGK1	KEGG
MOS	PKMYT1	KEGG
CDC42	ACTB	KEGG
BCL3	NFKB1	KEGG
JAK2	MAPK1	KEGG
GDF15	TGFBR2	KEGG
CD244	CSK	KEGG
ELMO1	DOCK1	KEGG
RXFP2	GNAO1	KEGG
PRKCB	NCF1	KEGG
CYLD	RIPK1	KEGG
FOXO1	SOD2	KEGG
PTK2B	VAV3	KEGG
RAB5A	PIK3C3	KEGG
MIR602	RASSF1	KEGG
SERPINB6	CTSG	KEGG
IRF9	ADAR	KEGG
NFE2L2	SQSTM1	KEGG
MIR195	PRKCA	KEGG
NFATC1	CXCL8	KEGG
EPAS1	TGFB1	KEGG
GLP1R	GNAS	KEGG
TNFRSF1A	MAP3K3	KEGG
OPRD1	GNB5	KEGG
RASSF4	STK3	KEGG
CRTC2	CREB3	KEGG
MAN2A2	MGAT2	KEGG
KIF7	SUFU	KEGG
MAP3K1	MAP2K2	KEGG
STAT3	NFKB1	KEGG
NFKB1	CD58	KEGG
PRKCA	MTOR	KEGG
CYSLTR1	GNA11	KEGG
HDAC1	FOS	KEGG
