gene	betweenness	eigenvector
RRAGB	19.000000	0.002486
RRAGD	0.000000	0.002003
CYSLTR1	0.000000	0.000003
GNA11	170.000000	0.007978
TNF	35.000000	0.016348
PSME3	184.500000	0.024448
TAC1	101.000000	0.000012
TACR2	0.000000	0.000000
L1CAM	10.000000	0.003850
NCAM1	286.000000	0.002964
GRIA1	8.500000	0.001750
GRIN1	58.000000	0.001701
PRKACA	570.000000	0.021822
CTNNB1	11034.166667	0.048050
SH3GLB1	137.000000	0.004170
UVRAG	0.000000	0.003795
THRB	0.000000	0.002217
HIF1A	1971.000000	0.019591
NTRK1	5656.500000	0.085140
FRS2	5.000000	0.005197
CALML6	0.000000	0.000625
CAMK1D	62.000000	0.001897
CTSD	49.500000	0.011830
BID	143.000000	0.008021
CCM2	15.000000	0.002245
SMURF1	237.500000	0.026212
TELO2	326.000000	0.008133
ATR	186.000000	0.010975
PRNP	66951.333333	0.059044
HSPA5	13954.000000	0.067099
HTT	844.333333	0.014589
UQCR11	11.000000	0.001235
PRKCA	2019.000000	0.012113
ILK	3059.500000	0.021021
CREB3	1049.000000	0.003637
FOSB	5.500000	0.001336
TNFRSF11B	0.000000	0.000009
TNFSF11	7.000000	0.000974
PRDM16	241.500000	0.010919
KDM1A	1076.500000	0.032440
FGFR1	2952.000000	0.017749
PDPK1	38.000000	0.011226
AGER	0.000000	0.001119
PRKCB	719.000000	0.008743
PEX5L	0.000000	0.001608
PEX14	121.000000	0.008430
CSE1L	144.500000	0.023240
KPNA1	9.000000	0.025076
CYP24A1	0.000000	0.001380
NTF4	0.000000	0.000180
NTRK2	0.000000	0.004162
SYK	475.000000	0.008426
FCER1G	98.000000	0.001440
MTOR	250.500000	0.018908
AVP	0.000000	0.000235
AVPR2	0.000000	0.001641
NFATC1	32.000000	0.009131
F2R	1.000000	0.000858
GLI3	144.000000	0.003051
GLI1	34.000000	0.007154
EEF2K	2.000000	0.002670
FER	3.000000	0.002958
CTNND1	33.000000	0.020077
NGF	0.000000	0.000202
SRC	1200.000000	0.019622
ITGAM	126.500000	0.001657
CDC42	5659.333333	0.044500
PIN1	641.500000	0.013965
IRF3	85.000000	0.006976
PPP3CA	165.000000	0.007925
TFEB	6.000000	0.002437
MYD88	72.000000	0.004452
IL6	5.000000	0.000761
GZMB	0.000000	0.000384
TUBA1B	221.500000	0.031201
CREBBP	7104.133333	0.019066
ATF4	29.000000	0.003351
SREBF1	157.000000	0.006924
ACACA	401.500000	0.029260
STAT6	28.000000	0.003045
IL2RA	6.000000	0.000688
PTPRF	5083.500000	0.010022
PTK2	48.000000	0.014383
FYN	862.500000	0.014736
CDK2	128.500000	0.042648
CCNE1	21.000000	0.006836
NKX2-2	198.000000	0.000352
INS	4100.500000	0.023535
FCGR2B	0.000000	0.000571
IL12A	12.000000	0.000420
RSPO1	0.000000	0.000427
LGR4	352.500000	0.011238
ROCK1	169.500000	0.009144
ARF6	964.500000	0.020118
ARF1	932.833333	0.013338
NKD1	0.000000	0.001202
DVL1	16.000000	0.006260
TLR4	75.000000	0.002021
TRAF6	907.500000	0.015099
JUN	369.000000	0.018111
FAS	71.500000	0.012763
NR4A2	0.000000	0.001104
PRKCE	77.500000	0.006243
MSN	606.500000	0.018294
LYN	1370.500000	0.024720
VAV3	0.000000	0.004881
CER1	0.000000	0.000631
WNT16	2.000000	0.000401
NOS3	10.000000	0.002152
ITGAV	249.500000	0.008323
PLCB1	14.000000	0.004224
PRL	1.000000	0.000264
PRLR	1.000000	0.001178
KCNMB2	0.000000	0.000683
SMAD2	140.500000	0.014840
RORA	24.000000	0.001960
FGFR3	106.000000	0.012343
GAB1	130.000000	0.006459
TNFRSF1A	8.500000	0.007795
NSMAF	16.000000	0.003037
OXTR	0.000000	0.000304
GNAS	228.000000	0.017099
GPRC6A	0.000000	0.000000
PDX1	0.000000	0.000542
IL21	0.000000	0.000359
IL21R	0.000000	0.000179
APC2	0.000000	0.001983
CAMK4	2.000000	0.002385
MAPK14	3693.000000	0.012695
ESR1	5460.000000	0.097469
RBPJL	22.000000	0.000890
PTCRA	0.000000	0.000680
SLC9A1	532.500000	0.004541
IL13	1.000000	0.000553
TGFBR1	3.000000	0.005833
DAXX	246.000000	0.016942
IL23A	0.000000	0.000131
IL12RB1	621.000000	0.002718
HCST	59.000000	0.002821
GRB2	1304.000000	0.030539
CYLD	2006.500000	0.034758
RIPK1	2.000000	0.008774
APOB	177.000000	0.006598
SORT1	1620.000000	0.008439
STAT3	6013.500000	0.025219
TBK1	1424.000000	0.018691
CALCOCO2	177.000000	0.021403
OLR1	101.000000	0.001292
ROCK2	2154.500000	0.009006
SOS1	20.000000	0.003674
PTPRM	366.000000	0.002213
BMP3	0.000000	0.000303
