gene	betweenness	eigenvector
STAT6	9.000000	0.003101
IL2RA	13.000000	0.000735
CLEC7A	77.000000	0.001026
LSP1	43.000000	0.001606
SLAMF7	0.000000	0.000686
PTPN6	125.000000	0.009092
CHRM1	0.000000	0.000002
GNA11	160.500000	0.007880
JUN	326.000000	0.018062
IL4R	35.500000	0.001344
MAPK14	607.500000	0.013795
ESR1	5880.000000	0.090273
PRKCB	494.500000	0.010043
NCF1	163.500000	0.003599
NAMPT	78.000000	0.011333
CYBB	3.000000	0.000648
CISH	3.000000	0.001604
PRLR	0.000000	0.001215
PRKACA	153.500000	0.024551
TRPV5	0.000000	0.002585
SRC	288.000000	0.022712
STAT3	1806.833333	0.023976
ERBB2	804.000000	0.032635
SHC2	0.000000	0.002639
IL1R1	0.000000	0.000678
MTOR	238.000000	0.018492
CYBA	211.000000	0.001771
RUNX1	400.000000	0.015291
JUP	309.500000	0.032272
SDC1	3.000000	0.005203
WNT1	0.000000	0.000236
SKP1	341.500000	0.026743
CUL1	716.000000	0.047025
ATF2	3410.000000	0.010456
NFATC1	88.000000	0.008792
IL22	0.000000	0.000478
CD44	23.000000	0.013853
CDC42	402.500000	0.050667
IL23R	0.000000	0.001871
HCK	346.000000	0.008431
FCGR2A	147.000000	0.001414
CTNNB1	6107.000000	0.046245
CREM	0.000000	0.003483
BCL2	84.500000	0.005957
STAT5A	291.000000	0.004874
GSK3A	22.000000	0.023391
GRIN2A	0.000000	0.001729
NR0B2	1.000000	0.002782
SLCO1B1	3.000000	0.001060
TBL1X	150.000000	0.005425
RASSF1	16.000000	0.004333
STK4	6447.500000	0.049165
ASGR1	184.500000	0.002002
TG	0.000000	0.000820
ACTN4	190.500000	0.027217
LMO7	23.000000	0.016115
PPP3CA	105.000000	0.008686
NFATC3	0.000000	0.003907
FYN	555.000000	0.016574
CAV1	9894.333333	0.027304
ZAP70	146.000000	0.002712
LCP2	117.000000	0.001916
ELK4	0.000000	0.004618
AXL	1783.500000	0.016717
ARF6	310.000000	0.020836
PLD1	44.000000	0.005603
ADAM17	147.000000	0.003056
TNF	127.500000	0.015622
CCR5	2.000000	0.000289
PGR	50.500000	0.003526
TNFSF11	92.000000	0.001064
FGFR3	9.000000	0.014060
RAP1A	177.000000	0.009771
PIK3CA	1239.500000	0.007843
GLI3	108.500000	0.003618
JAM3	87.000000	0.001373
JAM2	0.000000	0.000196
TGFB2	0.000000	0.000779
SMAD2	202.000000	0.013075
FUNDC1	101.000000	0.001746
ITGAV	114.000000	0.008712
PLCB1	3.000000	0.003831
GLI1	233.500000	0.006798
EIF4EBP1	9051.000000	0.003295
ONECUT1	0.000000	0.000585
NEUROG3	5.000000	0.006313
MMP9	16.000000	0.001168
TGFB1	917.000000	0.015198
FOXP3	0.000000	0.002531
EPB41L1	26.500000	0.009869
ACTB	4582.500000	0.049842
HLA-A	518.000000	0.015395
CD8A	34.500000	0.000752
ATR	396.000000	0.009462
BRCA1	4080.500000	0.053309
CR1	0.000000	0.000129
SYK	49.000000	0.008617
TIGIT	0.000000	0.000402
GRB2	249.500000	0.036144
PTPRJ	38.000000	0.004911
CTNND1	480.500000	0.017869
NKX2-2	152.500000	0.000438
INS	28.000000	0.025440
PRDM16	7.000000	0.011931
KDM1A	753.000000	0.033153
PRKCA	643.000000	0.014214
EVL	3.000000	0.003139
TGFBR1	17.500000	0.005212
DAXX	120.000000	0.017611
IRF5	23.000000	0.003540
HNF4A	0.000000	0.009421
PCK1	0.000000	0.006971
IL4	0.000000	0.000401
XBP1	0.000000	0.002068
DDIT3	120.000000	0.004750
ITGA2	161.000000	0.005039
HHIP	104.000000	0.001895
IHH	0.000000	0.000006
DLG1	247.500000	0.011104
TRAF6	5349.500000	0.013631
SLC9A1	207.500000	0.005278
MSN	597.333333	0.018422
ATP1B4	2.000000	0.000743
LLGL2	58.000000	0.006504
SCRIB	96.000000	0.018043
PPP1CA	5351.500000	0.032004
CDC25C	6.000000	0.005866
MYD88	30.000000	0.003953
TBK1	241.500000	0.018352
ARF1	5.000000	0.015840
VAV3	0.000000	0.004202
IL2	0.000000	0.000474
RUVBL1	168.500000	0.036838
PRKCE	28.500000	0.006851
TRPA1	0.000000	0.000498
ITGB1	3309.000000	0.017237
BAK1	0.000000	0.002061
FCGR2B	1.000000	0.000676
IL12A	61.000000	0.000466
PRKCI	98.000000	0.019260
CTNND2	207.000000	0.004580
LEF1	13.000000	0.002468
MMP2	724.500000	0.001499
HIF1A	925.000000	0.017740
LDHAL6A	0.000000	0.002966
CREB1	2477.000000	0.009608
PER1	12.000000	0.002937
CCL27	0.000000	0.000000
CCR3	0.000000	0.000133
SPHK2	0.000000	0.001467
RXFP2	0.000000	0.000041
GNAS	13.000000	0.018787
CALML6	2.000000	0.000509
CAMKK2	10.000000	0.002994
CD80	78.000000	0.001085
CD274	133.000000	0.016275
IL13	0.000000	0.000545
IL13RA1	0.000000	0.000427
