GeneName,Betweenness_Normal,eigenvector_norm,Betweenness_Tumor,eigenvector_tumor,logFC_betweenness,logFC_eigenvector,dice_score,DiCERank,EnsembleScore,DeltaBetweenness,DeltaEigenvector,Regulation
MED13L,0.0,0.005562,3e-06,0.005562,11.551227603598289,0.0,11.551227603598289,1.0,1.0,11.551227603598289,0.0,Increased_Centrality
AP2S1,0.0,0.010398,2e-06,0.010398,10.96650545190574,0.0,10.96650545190574,2.5,0.9645709438464802,10.96650545190574,0.0,Increased_Centrality
ARFGEF2,0.0,0.0072,2e-06,0.0072,10.96650545190574,0.0,10.96650545190574,2.5,0.9645709438464802,10.96650545190574,0.0,Increased_Centrality
IGDCC4,0.0,0.000785,1e-06,0.000785,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
SMYD3,0.0,0.005154,1e-06,0.005154,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
DTWD2,0.0,0.000957,1e-06,0.000957,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
MAML1,0.0,0.003415,1e-06,0.003415,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
ASXL2,0.0,0.0188,1e-06,0.0188,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
HBZ,0.0,0.001872,1e-06,0.001872,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
NSMCE1,0.0,0.003875,1e-06,0.003875,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
AKR1B10,0.0,0.002457,1e-06,0.002457,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
LSP1,0.0,0.001632,1e-06,0.001632,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
RNF34,0.0,0.002568,1e-06,0.002568,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
TMEM5,0.0,0.000564,1e-06,0.000564,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
GSTA2,0.0,0.000657,1e-06,0.000657,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
PPP1R14A,0.0,0.001548,1e-06,0.001548,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
GTF2H4,0.0,0.007466,1e-06,0.007466,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
PDCD1,0.0,0.001461,1e-06,0.001461,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
WASF3,0.0,0.003022,1e-06,0.003022,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
SCPEP1,0.0,0.003732,1e-06,0.003732,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
TAF4,0.0,0.01173,1e-06,0.01173,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
PLEKHM1,0.0,0.002177,1e-06,0.002177,9.967226258835993,0.0,9.967226258835993,49.0,0.90402335121324,9.967226258835993,0.0,Increased_Centrality
