gene	log2FC	pvalue	FDR
ARHGEF10L	-0.5176037689218536	3.402992179240912e-08	1.391411550187744e-07
HIF3A	-2.0055906085882	6.896984667723788e-19	2.850054348624415e-17
RNF17	-0.15558371177015762	0.2996292324530369	0.36535066737345506
RNF10	0.1920199953660866	2.7118354880062325e-06	8.173108176276133e-06
RNF11	-0.33124333487797664	9.637088686958312e-12	7.391381781923989e-11
RNF13	-0.28335660333643453	2.3657388689020207e-05	6.123088837158171e-05
GTF2IP1	0.08635371485942755	0.014622525669059812	0.023951410545793826
REM1	-0.1116179178251464	0.3984788772829936	0.46596389480434414
MTVR2	0.019272181031819616	0.5976560679679108	0.6582878429791481
RTN4RL2	1.4404416666666675	2.2512522521729564e-12	1.9731136674690073e-11
C16orf13	0.882564890330551	8.400208495031506e-15	1.269728316050103e-13
C16orf11	-0.3634416280506643	0.005183684136293513	0.009167824116068006
FGFR1OP2	-0.45738940376892323	4.478427937821547e-11	3.0306073990189646e-10
TSKS	-0.5577785835650302	0.000496415894041935	0.0010423199258979424
ATRX	-0.33192892338585267	1.3886564808510903e-06	4.387950350163431e-06
PMM2	0.742407059005247	5.482613871353706e-18	1.7947303480081948e-16
LOC100272146	0.7709281819586034	8.379161417859109e-10	4.481531805575433e-09
ASS1	-1.0109931649675588	1.018210727193961e-06	3.2787893875982124e-06
NCBP1	0.017494701884457342	0.595979850301355	0.6566412219257022
ZNF709	-0.29001243435280166	1.0959100448827042e-06	3.5144143900221983e-06
ZNF708	0.23768721037998208	0.0008268808427782353	0.0016712927281595429
RBM14	0.21234007568735613	2.4826553656972413e-08	1.0397494610557848e-07
NCBP2	0.253846756255788	2.5478041261155857e-09	1.245033059470512e-08
DISC1	0.35582137009577064	0.0033444056851149725	0.006102585793456938
CAMK1	0.5086767917825057	2.1134709918397655e-06	6.484811614713318e-06
RPL37	0.6693868628359549	7.354921791789441e-13	7.1817870649746305e-12
SPR	0.3498801050355045	1.1944827997103834e-06	3.8091663929731358e-06
ZNF700	0.3102803058387442	6.075605344823245e-06	1.7294310866301472e-05
ZNF707	0.49481475131294506	5.318729891337684e-13	5.3830374047664e-12
CAMK4	-1.0206256950880448	2.7697974154507768e-05	7.099565639414869e-05
ZNF704	-0.5493978066110596	2.6996756991650346e-07	9.569496248703716e-07
LOC339240	0.10101831170837189	0.10941698754277966	0.14970965889650376
GOLGA6B	0.16168914890330477	0.0367606006232441	0.055557531299320936
RNF115	-0.27993697096075465	6.753424644069708e-06	1.9078819607941147e-05
RNF112	-1.4375757414272492	6.561708072819038e-07	2.1695358483540405e-06
ZC3H14	-0.044862666048809174	0.18249852232560287	0.23564143288994321
SPN	-0.014633742662958582	0.9222146832073753	0.9497421754096234
HMGCLL1	-2.0099312866852013	1.6473470210950484e-11	1.2031832947083996e-10
NACAP1	0.11317814334259513	0.039017503354854516	0.058715345674405825
LRRTM1	-1.2371434352795814	7.42496742281116e-08	2.874761166765646e-07
GRIN1	0.6844633843064667	1.037605098510981e-06	3.339263313774753e-06
RBMY1A3P	0.0	1.0	1.0
DHX8	-0.22923808310163984	2.376551088501472e-06	7.218657694196198e-06
DHX9	-0.04161438059931655	0.21649123879036086	0.27409445283942707
LOC441204	0.8805590593141828	8.186301538867255e-08	3.1459945234939653e-07
TCOF1	0.1301359283286967	0.04019756347245848	0.060349097916656824
LRRTM3	-2.0407395659561347	3.4272061057623526e-08	1.3997322794973787e-07
NUP98	-0.056301274328069084	0.10245638576810669	0.14096670471297423
XPC	-0.33879670219337576	5.363594829694128e-10	2.986247367270276e-09
SLC12A2	0.6256546184739005	0.00208218573571588	0.003925272259455366
GRINA	0.3879644269385061	2.882520362136127e-09	1.394180297983775e-08
LRRTM2	-0.26953169601482907	0.0800969904560442	0.11318347318635917
NUP93	0.37241457367932895	6.030060322797494e-07	2.0078031736569596e-06
HAP1	-0.7917368937287614	7.266642409292931e-06	2.0427798681892286e-05
KLRA1	0.12258019771392892	0.3578187054341665	0.42430700389072795
CAMKV	0.7680717639789928	5.51584404369534e-12	4.4352674424697416e-11
SPPL3	0.02862034291010218	0.30746162821806183	0.3738106024693921
GOLIM4	-0.45159859437749716	1.2219156010709074e-05	3.316628060049606e-05
ZNF646	0.09017510812480545	0.10884868083869285	0.14900154670245688
OPA3	-0.036071339202958796	0.4359876013817161	0.5042904695419849
OPA1	-0.3999462696941638	9.241795335097184e-12	7.123392319279164e-11
RHEB	-0.1494071671300521	0.0036413459577876502	0.006594592212837225
RAB40C	0.3754399443929515	3.592357656493582e-08	1.46278542565651e-07
RAB40B	0.0952249459375949	0.07167315042138256	0.10239829088728614
RAB40A	-1.6075606502934865	1.8331553415892607e-10	1.1117596122986655e-09
COL7A1	-0.3440025177633572	0.03725227931143092	0.05624586990228275
MDP1	0.1254751081248111	0.02064631021744486	0.03280948961005859
GTSE1	1.928701544640095	2.4475631921054345e-14	3.3084722352987393e-13
FAM183A	0.21542349397590366	0.17458567621647533	0.22690709508737789
ARFRP1	0.18469624652454897	0.0009538287440020315	0.0019083598655769657
OVCH1	-0.04348503243744206	0.40032688438500796	0.4679738173062565
FAM183B	0.3486390871177018	5.1200485157286156e-05	0.00012606408533968872
