gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
PARK2	41501.0	0.114407	14814.0	0.13062	26687.0	0.01621300000000002	0.9995535714285714	1.0	0.9995535714285714	1	-26687.0	0.01621300000000002
EP300	14785.2	0.051937	46175.333333	0.044704	31390.133333	0.007232999999999996	0.9998883928571428	0.9989955357142857	0.9988840406768176	2	31390.133333	-0.007232999999999996
NR2C2	4756.5	0.056841	35776.5	0.050768	31020.0	0.006073000000000002	0.9997767857142857	0.99765625	0.9974335588727679	3	31020.0	-0.006073000000000002
UBE2H	3472.833333	0.082453	9295.166667	0.072633	5822.333333999999	0.009819999999999995	0.9954241071428571	0.9996651785714286	0.9950908178212691	4	5822.333333999999	-0.009819999999999995
YWHAE	8539.0	0.04181	2360.833333	0.048623	6178.1666669999995	0.006813	0.9962053571428572	0.9986607142857142	0.9948711535395408	5	-6178.1666669999995	0.006813
HSPA5	13954.0	0.067099	7936.5	0.073724	6017.5	0.006624999999999992	0.9958705357142857	0.9985491071428572	0.9944256342673788	6	-6017.5	0.006624999999999992
RPN1	13658.666667	0.037322	1200.0	0.042387	12458.666667	0.005065	0.9986607142857142	0.9952008928571429	0.9938680345184948	7	-12458.666667	0.005065
PRNP	66951.333333	0.059044	50683.833333	0.0637	16267.5	0.004656000000000007	0.9988839285714286	0.99375	0.9926409040178572	8	-16267.5	0.004656000000000007
CDC42	5659.333333	0.0445	406.0	0.050667	5253.333333	0.006166999999999999	0.9944196428571429	0.9981026785714285	0.9925329091597577	9	-5253.333333	0.006166999999999999
APP	45241.333333	0.048064	11572.0	0.052262	33669.333333	0.004198	1.0	0.9920758928571428	0.9920758928571428	10	-33669.333333	0.004198
AR	6770.5	0.036333	31140.333333	0.032427	24369.833333	0.0039059999999999997	0.9994419642857143	0.9904017857142857	0.9898491061463648	11	24369.833333	-0.0039059999999999997
HECTD1	11697.0	0.041787	25657.666667	0.037839	13960.666667000001	0.003948	0.9987723214285714	0.9909598214285714	0.9897432412906568	12	13960.666667000001	-0.003948
NTRK1	5656.5	0.08514	1950.5	0.091245	3706.0	0.006105000000000013	0.9909598214285714	0.9977678571428571	0.988747857541454	13	-3706.0	0.006105000000000013
PTEN	9340.666667	0.033725	5319.5	0.039205	4021.1666669999995	0.005479999999999999	0.9922991071428572	0.9962053571428572	0.9885336864237884	14	-4021.1666669999995	0.005479999999999999
WWP2	4124.5	0.040892	170.0	0.046002	3954.5	0.005110000000000003	0.9920758928571428	0.9953125	0.987425537109375	15	-3954.5	0.005110000000000003
HNRNPL	23935.0	0.051728	19928.5	0.056772	4006.5	0.005044	0.9921875	0.9950892857142857	0.9873151506696428	16	-4006.5	0.005044
HDLBP	5464.0	0.042975	611.0	0.047619	4853.0	0.004644000000000002	0.9936383928571428	0.9935267857142858	0.9872063586176658	17	-4853.0	0.004644000000000002
TRIM67	1204.5	0.173776	4597.5	0.167722	3393.0	0.006054000000000004	0.9896205357142858	0.9974330357142858	0.9870802151426978	18	3393.0	-0.006054000000000004
TOP3B	11843.0	0.04104	19793.5	0.037383	7950.5	0.0036570000000000005	0.9982142857142857	0.9887276785714286	0.9869620934311225	19	7950.5	-0.0036570000000000005
CIC	6434.0	0.029906	1004.833333	0.034004	5429.1666669999995	0.004098000000000001	0.9947544642857142	0.9917410714285714	0.9865388582190687	20	-5429.1666669999995	0.004098000000000001
PPP2R1A	1411.5	0.035713	7830.833333	0.031825	6419.333333	0.0038880000000000026	0.9964285714285714	0.9900669642857143	0.9865310108418367	21	6419.333333	-0.0038880000000000026
SUZ12	259.5	0.035447	3333.5	0.029298	3074.0	0.006148999999999998	0.9879464285714286	0.9979910714285715	0.9859617147640306	22	3074.0	-0.006148999999999998
TGOLN2	13983.833333	0.036129	37857.0	0.032745	23873.166666999998	0.003383999999999998	0.9993303571428571	0.9863839285714285	0.9857234036192601	23	23873.166666999998	-0.003383999999999998
DDX21	241.0	0.043869	2880.0	0.035482	2639.0	0.008386999999999999	0.9848214285714286	0.9993303571428571	0.9841619499362245	24	2639.0	-0.008386999999999999
SMARCC1	373.5	0.027499	3952.5	0.022867	3579.0	0.004632000000000001	0.9905133928571429	0.9934151785714286	0.9839910390425702	25	3579.0	-0.004632000000000001
SMC1A	3257.566667	0.025729	20343.5	0.02251	17085.933333	0.0032189999999999996	0.9989955357142857	0.9848214285714286	0.9838322106186225	26	17085.933333	-0.0032189999999999996
RPA1	433.0	0.131719	2997.5	0.122928	2564.5	0.008791000000000007	0.9842633928571428	0.9994419642857143	0.9837141387316645	27	2564.5	-0.008791000000000007
RPN2	4654.5	0.034482	743.5	0.038557	3911.0	0.004075000000000002	0.9917410714285714	0.9916294642857143	0.9834396673708545	28	-3911.0	0.004075000000000002
