gene	vitality_score	aspl_knockout	aspl_change
PARK2	0.186446	1790.46	0.186446
EP300	11.358	1801.64	11.358
NR2C2	3.63377	1793.91	3.63377
YWHAE	0.353495	1790.63	0.353495
UBE2H	0.912712	1791.19	0.912712
NTRK1	1.84336	1792.12	1.84336
RPN1	0.132299	1790.41	0.132299
CDC42	0.0278799	1790.31	0.0278799
PRNP	6.90826	1797.19	6.90826
HSPA5	0.608462	1790.89	0.608462
APP	1.5105	1791.79	1.5105
HECTD1	1.14525	1791.42	1.14525
AR	3.12675	1793.4	3.12675
HNRNPL	1.72943	1792.01	1.72943
PTEN	0.186441	1790.46	0.186441
HDLBP	0.136652	1790.41	0.136652
WWP2	0.479876	1790.76	0.479876
CIC	0.0573486	1790.34	0.0573486
TOP3B	1.17304	1791.45	1.17304
PPP2R1A	0.379534	1790.66	0.379534
TGOLN2	6.67024	1796.95	6.67024
SUZ12	0.321104	1790.6	0.321104
RPA1	0.246809	1790.52	0.246809
DDX21	0.262883	1790.54	0.262883
SMC1A	2.18876	1792.47	2.18876
RPN2	0.107359	1790.39	0.107359
TRIM67	0.440768	1790.72	0.440768
ERBB2	-0.112631	1790.17	-0.112631
LMBR1L	0.28697	1790.56	0.28697
TOPBP1	0.792488	1791.07	0.792488
MECP2	0.632243	1790.91	0.632243
NEK4	1.01952	1791.3	1.01952
RELA	0.153894	1790.43	0.153894
FUBP3	0.0905081	1790.37	0.0905081
CLTC	0.932996	1791.21	0.932996
RBM27	0.12251	1790.4	0.12251
RRBP1	-0.0656698	1790.21	-0.0656698
USP9X	0.717206	1790.99	0.717206
DHX9	0.25534	1790.53	0.25534
DDRGK1	0.201388	1790.48	0.201388
FUBP1	0.139924	1790.42	0.139924
SKP1	0.0377347	1790.32	0.0377347
SND1	-0.0267089	1790.25	-0.0267089
SFN	0.0332251	1790.31	0.0332251
POR	0.0648305	1790.34	0.0648305
STX7	0.0230867	1790.3	0.0230867
CCNT1	0.560959	1790.84	0.560959
CUL1	0.0810084	1790.36	0.0810084
VHL	2.55974	1792.84	2.55974
LMNA	2.34272	1792.62	2.34272
